Dist Code,District Name,Org Level,CESA,Cty Code,County Name,School Year,Days of Instruction,Actual Days of Attendance,Possible Days of Attendance,ADA,ADM
2912,Lancaster Community,D,3,22,Grant,2018-2019,173,156354,164554,903.78,951.18
2940,Laona,D,8,21,Forest,2018-2019,168,40391,43214,240.42,257.23
2961,Lena,D,8,42,Oconto,2018-2019,168,63997,66485,380.93,395.74
3087,Linn J4,D,2,64,Walworth,2018-2019,169,18703.5,19670,110.67,116.39
3094,Linn J6,D,2,64,Walworth,2018-2019,179,24024,25243,134.21,141.02
3122,Richmond,D,1,67,Waukesha,2018-2019,171,68427.5,70650,400.16,413.16
3129,Little Chute Area,D,6,44,Outagamie,2018-2019,173,250776.5,264678.5,1449.58,1529.93
3150,Lodi,D,5,11,Columbia,2018-2019,176,237423,246397,1348.99,1399.98
3171,Lomira,D,6,14,Dodge,2018-2019,172,181139.5,189674,1053.14,1102.76
3206,Loyal,D,10,10,Clark,2018-2019,165,78867.5,81916.5,477.98,496.46
3213,Luck,D,11,48,Polk,2018-2019,172,69983.5,73130,406.88,425.17
3220,Luxemburg-Casco,D,7,31,Kewaunee,2018-2019,170,314037.5,325112,1847.28,1912.42
3269,Madison Metropolitan,D,2,13,Dane,2018-2019,179,4230475,4578045.5,23633.94,25575.67
3276,Manawa,D,6,68,Waupaca,2018-2019,172,102194.5,107822,594.15,626.87
3290,Manitowoc,D,7,36,Manitowoc,2018-2019,168,785742.5,847471.5,4677.04,5044.47
3297,Maple,D,12,16,Douglas,2018-2019,178,228062.5,241076,1281.25,1354.36
3304,Marathon City,D,9,37,Marathon,2018-2019,172,114780,120352,667.33,699.72
3311,Marinette,D,8,38,Marinette,2018-2019,170,318043.5,341483,1870.84,2008.72
3318,Marion,D,8,68,Waupaca,2018-2019,170,66651,71472,392.06,420.42
3325,Markesan,D,6,24,Green Lake,2018-2019,172,132099,139176,768.02,809.16
3332,Marshall,D,2,13,Dane,2018-2019,173,154345.5,164770,892.17,952.43
3339,Marshfield Unified,D,5,71,Wood,2018-2019,172,647701,675837,3765.7,3929.28
3360,Mauston,D,5,29,Juneau,2018-2019,172,226180.5,242743,1315,1411.3
3367,Mayville,D,6,14,Dodge,2018-2019,171,188792,199106,1104.05,1164.36
3381,McFarland,D,2,13,Dane,2018-2019,172,784164,802558,4559.09,4666.03
3409,Medford Area Public,D,10,60,Taylor,2018-2019,166,459812,476422,2769.95,2870.01
3427,Mellen,D,12,2,Ashland,2018-2019,180,45938.5,47686,255.21,264.92
3428,Melrose-Mindoro,D,4,27,Jackson,2018-2019,170,118369,124280,696.29,731.06
3430,Menasha Joint,D,6,70,Winnebago,2018-2019,171,534670.5,569443.5,3126.73,3330.08
3434,Menominee Indian,D,8,72,Menominee,2018-2019,175,135524.5,158991,774.43,908.52
3437,Menomonee Falls,D,1,67,Waukesha,2018-2019,173,663228.5,693730,3833.69,4010
3444,Menomonie Area,D,11,17,Dunn,2018-2019,167,530135.5,565938,3174.46,3388.85
3479,Mequon-Thiensville,D,1,45,Ozaukee,2018-2019,171,657204.5,687834,3843.3,4022.42
3484,Mercer,D,12,26,Iron,2018-2019,165,23477.5,24237,142.29,146.89
3500,Merrill Area,D,9,35,Lincoln,2018-2019,171,552959,575821,3233.68,3367.37
3510,Swallow,D,1,67,Waukesha,2018-2019,171,76638.5,79246,448.18,463.43
3514,North Lake,D,1,67,Waukesha,2018-2019,172,54587,56704,317.37,329.67
3528,Merton Community,D,1,67,Waukesha,2018-2019,172,138192,143835.5,803.44,836.25
3542,Stone Bank,D,1,67,Waukesha,2018-2019,172,58040,60420,337.44,351.28
3549,Middleton-Cross Plains Area,D,2,13,Dane,2018-2019,176,1187813.5,1258034,6748.94,7147.92
3612,Milton,D,2,53,Rock,2018-2019,172,534652,562850,3108.44,3272.38
3619,Milwaukee,D,1,40,Milwaukee,2018-2019,172,11347154.5,12994229,65971.83,75547.84
3633,Mineral Point Unified,D,3,25,Iowa,2018-2019,167,121514.5,126001,727.63,754.5
3640,Minocqua J1,D,9,43,Oneida,2018-2019,176,99207.5,104178,563.68,591.92
3647,Lakeland UHS,D,9,43,Oneida,2018-2019,179,112875,122057,630.59,681.88
3654,Northwood,D,12,65,Washburn,2018-2019,172,54462.5,57377,316.64,333.59
3661,Mishicot,D,7,36,Manitowoc,2018-2019,171,134341.5,139805.5,785.62,817.58
3668,Mondovi,D,10,6,Buffalo,2018-2019,166,147792,154041.5,890.31,927.96
3675,Monona Grove,D,2,13,Dane,2018-2019,173,533036.5,563076.5,3081.14,3254.78
3682,Monroe,D,2,23,Green,2018-2019,179,387198.5,406433,2163.12,2270.58
3689,Montello,D,5,39,Marquette,2018-2019,180,105765,112941,587.58,627.45
3696,Monticello,D,2,23,Green,2018-2019,169,56100.5,58469,331.96,345.97
3787,Mosinee,D,9,37,Marathon,2018-2019,171,315786.5,332176,1846.7,1942.55
3794,Mount Horeb Area,D,2,13,Dane,2018-2019,175,402353.5,424169.5,2299.16,2423.83
3822,Mukwonago,D,1,67,Waukesha,2018-2019,174,814559,849978.5,4681.37,4884.93
3850,Riverdale,D,3,22,Grant,2018-2019,171,108846.5,115909,636.53,677.83
3857,Muskego-Norway,D,1,67,Waukesha,2018-2019,175,797792,831863,4558.81,4753.5
3862,Lake Country,D,1,67,Waukesha,2018-2019,171,83624.5,87609,489.03,512.33
3871,Necedah Area,D,5,29,Juneau,2018-2019,169,103903,109098,614.81,645.55
3892,Neenah Joint,D,6,70,Winnebago,2018-2019,171,1029953,1088481.5,6023.12,6365.39
3899,Neillsville,D,10,10,Clark,2018-2019,170,148864,155779,875.67,916.35
3906,Nekoosa,D,5,71,Wood,2018-2019,176,195339,205779,1109.88,1169.2
3920,New Auburn,D,10,9,Chippewa,2018-2019,169,50718.5,53169,300.11,314.61
3925,New Berlin,D,1,67,Waukesha,2018-2019,171,731774.5,757488,4279.38,4429.75
3934,New Glarus,D,2,23,Green,2018-2019,170,155314.5,163240.5,913.61,960.24
3941,New Holstein,D,7,8,Calumet,2018-2019,175,173083,179711,989.05,1026.92
3948,New Lisbon,D,5,29,Juneau,2018-2019,169,100750,107454,596.15,635.82
3955,New London,D,6,68,Waupaca,2018-2019,169,353241.5,375588.5,2090.19,2222.42
3962,New Richmond,D,11,55,Saint Croix,2018-2019,171,554277.5,581544,3241.39,3400.84
3969,Niagara,D,8,38,Marinette,2018-2019,166,65672,69100,395.61,416.27
3976,Norris,D,1,67,Waukesha,2018-2019,179,4852,4948,27.11,27.64
