OBJECTID,DISTRICT,explServcsOfer,explNoServcsOfer,OSS,CESA,COUNTY_CODE,COUNTY_NAME,ATHLETIC_CONFERENCE_CODE,ATHLETIC_CONFERENCE_NAME,DISTRICT_CODE,Possible Days of Attendance,ADA,ADM,STUDENT_COUNT,SDID,LEAID,TYPE,SHAPE_Length,SHAPE_Area
98,Elmbrook,no data,2,86,1,67,Waukesha,17,Greater Metro,714,1279537.5,6975.96,7270.1,7334,714,5501770,Unified,44548.41616,85108515.84
99,Elmwood,no data,no data,no data,11,47,Pierce,123,Dunn-St. Croix - Small,1666,53676,300.42,313.89,312,1666,5504350,Unified,137557.0248,253308797.5
382,Erin,no data,no data,no data,6,66,Washington,45,Wisconsin Little Ten,1687,72981,417.21,431.84,421,1687,5504410,Elementary,44726.01714,62367630.38
100,Evansville Community,no data,no data,66,2,53,Rock,36,Rock Valley,1694,303972,1632.97,1717.36,1800,1694,5504440,Unified,146379.6412,270449715.8
101,Fall Creek,no data,no data,10,10,18,Eau Claire,121,Cloverbelt - West,1729,141020,793.82,829.53,852,1729,5504500,Unified,145855.3646,276178165
102,Fall River,no data,no data,5,5,11,Columbia,43,Trailways,1736,75170,407.64,424.69,453,1736,5504530,Unified,113422.0314,125629619.4
103,Fennimore Community,no data,no data,6,3,22,Grant,131,Southwest Wisconsin Activities League,1813,135307,778.09,815.1,798,1813,5504590,Unified,202707.1689,378085138
104,Flambeau,no data,no data,25,10,54,Rusk,261,Lakeland - East,5757,99639,536.56,569.37,578,5757,5514970,Unified,189991.3643,1041595213
105,Florence,no data,no data,4,8,19,Florence,31,Northern Lakes,1855,66020,351.8,368.83,389,1855,5504650,Unified,184940.3874,1287495719
106,Fond Du Lac,8,2,188,6,20,Fond du Lac,16,Fox Valley Association,1862,1222754,6558.43,6987.17,7100,1862,5504680,Unified,117874.772,207897967.9
383,Fontana J8,no data,no data,no data,2,64,Walworth,36,Rock Valley,1870,35873,192.37,206.17,214,1870,5504720,Elementary,38525.73755,32028485.74
107,Fort Atkinson,no data,no data,16,2,28,Jefferson,115,Badger - South,1883,507443,2800.51,2933.2,2843,1883,5504740,Unified,138802.2073,281143377.5
384,Fox Point J2,no data,no data,8,1,40,Milwaukee,30,North Shore,1890,138774.5,766.64,802.16,793,1890,5504800,Elementary,19324.42681,9760570.791
108,Franklin Public,no data,no data,121,1,40,Milwaukee,40,Southeast,1900,786744.5,4265.03,4470.14,4599,1900,5504830,Unified,46244.17237,75078209.28
109,Frederic,3,no data,40,11,48,Polk,262,Lakeland - West,1939,71155.5,398.79,423.54,438,1939,5504860,Unified,117333.1698,394289654.9
110,Freedom Area,no data,no data,3,6,44,Outagamie,301,North Eastern,1953,262889,1467.57,1546.41,1607,1953,5504920,Unified,80571.79254,195839281.7
111,Galesville-Ettrick-Trempealeau,no data,no data,12,4,61,Trempealeau,10,Coulee,2009,236621,1307.71,1367.75,1397,2009,5504960,Unified,145785.9178,466665544.1
385,Geneva J4,no data,no data,1,2,64,Walworth,41,Southern Lakes,2044,31026,164.66,173.33,201,2044,5505100,Elementary,20195.55845,15889732.14
386,Genoa City J2,no data,no data,19,2,64,Walworth,41,Southern Lakes,2051,81238,458.84,483.56,526,2051,5505130,Elementary,40451.66159,47126750.65
112,Germantown,no data,1,91,1,66,Washington,30,North Shore,2058,666746,3691.82,3876.43,3896,2058,5505160,Unified,74078.86252,148416414.8
113,Gibraltar Area,no data,no data,7,7,15,Door,33,Packerland,2114,89439,503.06,529.22,531,2114,5505220,Unified,206569.3091,359916266.7
114,Gillett,no data,no data,40,8,42,Oconto,25,Marinette-Oconto,2128,84433,468.9,496.66,514,2128,5505250,Unified,105440.0046,287481760.9
115,Gilman,no data,no data,4,10,60,Taylor,120,Cloverbelt - East,2135,55975,311.25,323.55,326,2135,5505280,Unified,185085.3875,864965703.4
116,Gilmanton,no data,no data,4,10,6,Buffalo,11,Dairyland,2142,25131,140.41,146.96,150,2142,5505370,Unified,105015.5197,248081352.4
387,Glendale-River Hills,no data,no data,40,1,40,Milwaukee,30,North Shore,2184,184774,997.78,1049.85,1065,2184,5505460,Elementary,30083.83944,16801078.63
117,Glenwood City,no data,no data,10,11,55,Saint Croix,123,Dunn-St. Croix - Small,2198,110450.5,624.94,661.38,687,2198,5505520,Unified,179097.3607,298905280.8
118,Goodman-Armstrong Creek,no data,no data,5,8,38,Marinette,31,Northern Lakes,2212,20343,108.11,116.25,115,2212,5505580,Unified,91834.30358,411938619.4
119,Grafton,no data,no data,64,1,45,Ozaukee,30,North Shore,2217,358227,1931.93,2001.27,2071,2217,5505610,Unified,52877.4587,55753521.77
