SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHARTER_IND,DISTRICT_NAME,SCHOOL_NAME,GROUP_BY,GROUP_BY_VALUE,BEHAVIOR_TYPE,TFS_ENROLLMENT_COUNT,INCIDENTS_COUNT
2018-19,School District,10,Clark,1162,,[All],No,Colby,[Districtwide],All Students,All Students,Drugs and Alcohol,912,5
2018-19,School District,10,Clark,1162,,[All],No,Colby,[Districtwide],All Students,All Students,Endangering Behavior,912,4
2018-19,School District,10,Clark,1162,,[All],No,Colby,[Districtwide],All Students,All Students,Other Violation of School Rules,912,11
2018-19,School District,8,Marinette,1169,,[All],No,Coleman,[Districtwide],All Students,All Students,Other Violation of School Rules,729,7
2018-19,School District,11,Dunn,1176,,[All],No,Colfax,[Districtwide],All Students,All Students,Assault,800,2
2018-19,School District,11,Dunn,1176,,[All],No,Colfax,[Districtwide],All Students,All Students,Drugs and Alcohol,800,5
2018-19,School District,11,Dunn,1176,,[All],No,Colfax,[Districtwide],All Students,All Students,Endangering Behavior,800,6
2018-19,School District,11,Dunn,1176,,[All],No,Colfax,[Districtwide],All Students,All Students,Other Violation of School Rules,800,33
2018-19,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],All Students,All Students,Assault,1307,7
2018-19,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],All Students,All Students,Drugs and Alcohol,1307,2
2018-19,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],All Students,All Students,Endangering Behavior,1307,33
2018-19,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],All Students,All Students,Other Violation of School Rules,1307,18
2018-19,School District,5,Columbia,1183,,[All],No,Columbus,[Districtwide],All Students,All Students,Weapon Related,1307,4
2018-19,School District,10,Chippewa,1204,,[All],No,Cornell,[Districtwide],All Students,All Students,Assault,406,1
2018-19,School District,10,Chippewa,1204,,[All],No,Cornell,[Districtwide],All Students,All Students,Endangering Behavior,406,4
2018-19,School District,10,Chippewa,1204,,[All],No,Cornell,[Districtwide],All Students,All Students,Other Violation of School Rules,406,20
2018-19,School District,10,Chippewa,1204,,[All],No,Cornell,[Districtwide],All Students,All Students,Weapon Related,406,1
2018-19,School District,8,Forest,1218,,[All],No,Crandon,[Districtwide],All Students,All Students,Drugs and Alcohol,857,2
2018-19,School District,8,Forest,1218,,[All],No,Crandon,[Districtwide],All Students,All Students,Other Violation of School Rules,857,143
2018-19,School District,8,Marinette,1232,,[All],No,Crivitz,[Districtwide],All Students,All Students,Drugs and Alcohol,791,5
2018-19,School District,8,Marinette,1232,,[All],No,Crivitz,[Districtwide],All Students,All Students,Other Violation of School Rules,791,19
2018-19,School District,3,Grant,1246,,[All],No,Cuba City,[Districtwide],All Students,All Students,Other Violation of School Rules,679,9
2018-19,School District,1,Milwaukee,1253,,[All],No,Cudahy,[Districtwide],All Students,All Students,Assault,2326,2
